cities,2019-06-13,2023-10-07,2025-06-13
'ביר הדאג,14,14,7
אבו גוש,51,49,12
אבו נוור,15,15,8
אבו סנאן,67,67,23
אבו קרינאת,43,38,13
אבו תלול,79,63,13
אבטליון,33,33,24
אביאל,27,26,15
אביבים,167,167,14
אביגדור,46,37,16
אביחיל,30,30,18
אביעזר,51,51,15
אבירים,96,93,16
אבן יהודה,44,42,22
אבן מנחם,132,130,15
אבן ספיר,48,47,11
אבן שמואל,17,16,10
אבני איתן,27,26,10
אבני חפץ,28,28,21
אבנת,12,12,7
אבשלום,43,21,3
אדורה,32,32,12
אדוריים,27,27,11
אדמית,167,159,14
אדרת,48,48,14
אודים,44,43,25
אודם,43,43,13
אוהד,29,22,4
אום אל פחם,28,26,16
אום אל קוטוף,21,20,15
אום אלג'נם,26,26,18
אום בטין,50,38,12
אופקים,66,41,12
אור הגנוז,78,78,19
אור הנר,84,45,6
אור יהודה,138,120,34
אור עקיבא,23,22,12
אורה,43,43,10
אורון תעשייה ומסחר,15,15,7
אורות,60,46,17
אורטל,48,48,16
אורים,53,44,9
אורנים,47,47,22
אורנית,59,58,30
אושה,52,52,24
אזור,143,123,32
אזור תעשייה אלון התבור,31,31,17
אזור תעשייה אפק ולב הארץ,77,73,32
אזור תעשייה אריאל,32,32,26
אזור תעשייה באר טוביה,43,43,16
אזור תעשייה בני יהודה,20,20,11
אזור תעשייה בר-לב,53,53,24
אזור תעשייה בראון,25,25,19
אזור תעשייה ברוש,52,52,16
אזור תעשייה ברקן,33,33,27
אזור תעשייה גדרה,36,36,20
אזור תעשייה דימונה,19,18,8
אזור תעשייה הדרומי אשקלון,524,241,7
אזור תעשייה הר טוב - צרעה,59,59,18
אזור תעשייה חבל מודיעין,75,75,33
אזור תעשייה חצור הגלילית,69,68,18
אזור תעשייה טירה,40,40,26
אזור תעשייה טמרה,56,56,24
אזור תעשייה יקנעם עילית,46,46,21
אזור תעשייה כנות,70,56,20
אזור תעשייה כפר יונה,34,34,20
אזור תעשייה כרמיאל,56,55,24
אזור תעשייה מבוא כרמל,34,34,18
אזור תעשייה מבואות הגלבוע,22,22,13
אזור תעשייה מישור אדומים,14,14,9
אזור תעשייה מיתרים,28,28,15
אזור תעשייה נ.ע.מ,35,34,10
אזור תעשייה ניר עציון,39,38,21
אזור תעשייה נשר - רמלה,94,85,28
אזור תעשייה עד הלום,131,53,16
אזור תעשייה עידן הנגב,29,22,14
אזור תעשייה עמק חפר,20,20,12
אזור תעשייה צ.ח.ר,60,59,19
אזור תעשייה צבאים,17,17,12
אזור תעשייה ציפורית,36,36,22
אזור תעשייה צמח,4,3,
אזור תעשייה צפוני אשקלון,189,91,10
אזור תעשייה קדמת גליל,32,32,18
אזור תעשייה קיסריה,23,22,11
אזור תעשייה קריית ביאליק,100,100,24
אזור תעשייה קריית גת,25,25,12
אזור תעשייה רבדים,45,45,21
אזור תעשייה רגבים,28,27,15
אזור תעשייה רגמ,67,67,28
אזור תעשייה רותם,20,20,9
אזור תעשייה רמת דלתון,130,130,16
אזור תעשייה שחורת,24,24,6
אזור תעשייה שחק,25,25,17
אזור תעשייה שער בנימין,17,17,12
אזור תעשייה שער נעמן,104,103,23
אזור תעשייה תימורים,36,34,16
אזור תעשייה תרדיון,43,43,23
אחווה,50,44,18
אחוזם,16,14,10
אחוזת ברק,31,31,18
אחיה,18,18,14
אחיהוד,58,58,24
אחיטוב,22,22,14
אחיסמך,93,83,29
אחיעזר,127,106,35
איבטין,44,44,23
איבים,527,244,6
איזור תעשייה מילואות צפון,211,211,15
אייל,43,43,26
איילת השחר,83,82,15
איירפורט סיטי,77,77,35
אילון,147,144,16
אילות,27,27,6
אילניה,39,39,20
אילת,40,40,8
אירוס,120,105,29
איתמר,19,19,15
איתן,21,18,10
אכסאל,38,38,22
אל מסק,13,13,7
אל סייד,54,41,13
אל עזי,34,34,16
אל עמארני,13,13,7
אל עריאן,26,25,15
אל פורעה,42,42,12
אל רום,43,43,13
אלומה,25,25,15
אלומות,20,20,12
אלון,12,12,8
אלון הגליל,47,47,23
אלון מורה,17,17,13
אלון שבות,43,41,12
אלוני אבא,41,41,22
אלוני הבשן,26,26,14
אלוני יצחק,25,24,14
אלונים,45,45,22
אלי עד,22,22,9
אליאב,21,21,11
אליכין,23,23,13
אליפז ומכרות תמנע,10,10,9
אליפלט,65,64,20
אליקים,43,43,20
אלישיב,24,24,15
אלישמע,66,65,30
אלמגור,28,27,17
אלמוג,10,10,7
אלעד,86,79,32
אלעזר,40,38,12
אלפי מנשה,50,46,27
אלקוש,96,95,17
אלקנה,50,48,29
אמונים,97,45,16
אמירים,40,40,20
אמנון,35,34,18
אמץ,25,25,14
אמציה,18,18,10
אניעם,24,24,15
אעבלין,59,58,25
אפיק,19,19,10
אפיקים,17,17,10
אפק,69,69,24
אפרת,40,38,13
ארבל,32,32,19
ארגמן,15,15,11
ארז,198,82,5
אריאל,31,31,21
ארסוף,66,63,30
אשבול,16,13,9
אשבל,42,42,23
"אשדוד - א,ב,ד,ה",164,77,17
אשדוד - איזור תעשייה צפוני,198,92,20
"אשדוד - ג,ו,ז",151,67,17
"אשדוד - ח,ט,י,יג,יד,טז",178,78,16
"אשדוד - יא,יב,טו,יז,מרינה,סיט",183,87,18
אשדוד סיטי,2,,
אשדות יעקב,17,17,10
אשדות יעקב מאוחד,2,2,
אשחר,48,48,24
אשכולות,22,21,12
אשל הנשיא,37,29,13
אשלים,11,11,3
אשקלון - דרום,434,204,8
אשקלון - צפון,171,151,10
אשרת,58,58,24
אשתאול,61,61,18
אתר דודאים,53,51,13
אתר ההנצחה גולני,39,39,21
באקה אל גרבייה,27,26,14
באר אורה,9,9,6
באר גנים,120,56,10
באר טוביה,73,48,17
באר יעקב,134,110,31
באר מילכה,4,4,2
באר שבע - דרום,123,76,12
באר שבע - מזרח,103,60,12
באר שבע - מערב,123,70,12
באר שבע - צפון,96,51,12
בארות יצחק,97,89,34
בארותיים,34,33,19
בארי,96,46,6
בוסתן הגליל,82,82,23
בועיינה-נוג'ידאת,41,41,22
בוקעתא,40,40,12
בורגתה,34,33,20
בחן,27,27,18
בטחה,42,25,12
ביצרון,94,59,19
ביר אלמכסור,55,55,23
ביר הדאג',14,14,7
ביריה,134,134,18
בית אורן,40,39,22
בית אל,21,21,14
בית אלעזרי,89,73,22
בית אלפא וחפציבה,18,18,11
בית אריה,52,52,28
בית ברל,55,55,30
בית ג'אן,45,45,22
בית גוברין,21,21,11
בית גמליאל,94,75,23
בית דגן,141,122,33
בית הגדי,80,49,7
בית הלוי,30,30,18
בית הלל,281,281,13
בית העלמין החדש נהריה,56,56,22
בית העלמין החדש עכו,87,87,25
בית העמק,63,63,24
בית הערבה,9,9,6
בית השיטה,16,16,10
בית זית,41,40,10
בית זרע,18,18,11
